id,product_id,feature,value
1,1,Fabric,Canvas
2,1,Buttons,Brass
3,2,Lenses,Ultrasheen
4,2,UV Protection,null
5,2,Frames,LightCompose
6,3,Fabric,100% Cotton
7,3,Cut,Skinny
8,4,Fabric,99% Cotton 1% Elastic
9,4,Cut,Loose
10,5,Sole,Rubber
11,5,Material,FullControlSkin
12,5,Mid-Sole,ControlSupport Arch Bridge
13,5,Stitching,Double Stitch
14,6,Sole,Rubber
15,6,Material,FullControlSkin
16,6,Mid-Sole,ControlSupport Arch Bridge
17,6,Stitching,Double Stitch
18,7,Sole,Rubber
19,7,Material,FullControlSkin
20,7,Stitching,Double Stitch
21,8,Sole,Rubber
22,8,Material,FullControlSkin
23,8,Stitching,Double Stitch
24,9,Sole,Rubber
25,9,Material,FullControlSkin
26,9,Mid-Sole,ControlSupport Arch Bridge
27,9,Stitching,Double Stitch
28,11,Sole,Rubber
29,11,Material,FullControlSkin
30,11,Stitching,Double Stitch
31,12,Frame,AllLight Composition Resin
32,13,Cut,Loose
33,13,Lens,Ultrasheen Basic
34,13,Green Leaf Certified,null
35,14,Fabric,Cashmere
36,15,Buttons,White Resin
37,16,Stitching,Cross Stitch
38,17,Lifetime Guarantee,null
39,17,Non-GMO,null
40,17,Fabric,"95% Cotton, 5% Elastic"
41,17,Lifetime Guarantee,null
42,18,Lens,100% UV Protective
43,18,Fair Trade Certified,null
44,19,Stitching,Cross Stitch
45,19,5 Year Warranty,null
46,20,Lifetime Guarantee,null
47,20,5 Year Warranty,null
48,21,Material,FullSupport Hybrid Compound
49,21,Lifetime Guarantee,null
50,22,Lens,Ultrasheen Gold
51,22,Non-GMO,null
52,23,5 Year Warranty,null
53,23,Fair Trade Certified,null
54,24,Cut,Skinny
55,25,Green Leaf Certified,null
56,25,Stitching,Cross Stitch
57,26,Cut,Skinny
58,27,Cut,Loose
59,28,Stitching,Double Stitch
60,28,Satisfaction Guaranteed,null
61,28,Frame,AllLight Composition Resin
62,29,Fair Trade Certified,null
63,29,Satisfaction Guaranteed,null
64,30,Cut,Loose
65,30,Frame,DuraResin
66,30,Lifetime Guarantee,null
67,31,Fabric,Wool
68,31,Fair Trade Certified,null
69,32,Lens,Ultrasheen Gold
70,33,Stitching,Cross Stitch
71,33,Non-GMO,null
72,34,Cut,Striaght
73,34,Sustainably Sourced,null
74,35,Non-GMO,null
75,35,Green Leaf Certified,null
76,35,Satisfaction Guaranteed,null
77,36,Lens,Ultrasheen Gold
78,36,Non-GMO,null
79,36,5 Year Warranty,null
80,37,Cut,Skinny
81,37,Green Leaf Certified,null
82,37,Cut,Loose
83,38,Fabric,Wool
84,38,Cut,Skinny
85,39,Sustainably Sourced,null
86,39,Cut,Loose
87,40,Sustainably Sourced,null
88,40,Lifetime Guarantee,null
89,41,5 Year Warranty,null
90,41,Cut,Striaght
91,41,Fair Trade Certified,null
92,42,Frame,DuraResin
93,42,Cut,Skinny
94,43,Frame,DuraResin
95,43,Satisfaction Guaranteed,null
96,43,Non-GMO,null
97,44,Green Leaf Certified,null
98,44,Fabric,Cool Fit
99,45,Fabric,Canvas
100,46,Lifetime Guarantee,null
101,47,Lifetime Guarantee,null
102,47,Satisfaction Guaranteed,null
103,48,Lifetime Guarantee,null
104,49,Frame,AllLight Composition Resin
105,50,Green Leaf Certified,null
106,50,Fabric,"80% Cotton, 20% Polyester"
107,51,Fabric,Cashmere
108,51,Stitching,Cross Stitch
109,52,Frame,AllLight Composition Resin
110,52,Buttons,White Resin
111,53,Lens,Ultrasheen Basic
112,54,Cut,Straight
113,54,Non-GMO,null
114,55,Cut,Striaght
115,55,Cut,Loose
116,55,Material,Control Support Bridge
117,55,Fabric,Cashmere
118,56,Lens,100% UV Protective
